4194304								37.201462
8388608								38.788583
12582912							38.159795
16777216							38.468485
20971520							39.120701
25165824							39.497075
29360128							40.339686
33554432							39.576596
37748736							40.216594
41943040							40.576368
46137344							39.840175
50331648							40.820854
54525952							40.428785
58720256							40.582605
62914560							40.264243
67108864							39.784826
71303168							40.107263
75497472							40.480380
79691776							39.791057
83886080							39.406109

